level,part_number,description,category,quantity,unit,station,supply_type,notes
0,DRN-FG-600,Packaged finished inspection drone,Finished good,1,each,FG Inventory,make,Top-level finished drone assembly
1,DRN-FRM-001,Carbon fiber main frame kit,Airframe,1,set,Airframe,buy,Includes top plate bottom plate and standoffs
1,DRN-ARM-001,Carbon fiber arm set,Airframe,1,set,Airframe,buy,Four arms for quadcopter frame
1,DRN-HDW-001,Fastener and thread-lock kit,Airframe,1,set,Airframe,buy,Screws spacers lock nuts and thread locker
1,DRN-MTR-001,Brushless motor clockwise/counterclockwise set,Propulsion,4,each,Airframe,buy,Matched motors mounted to arms
1,DRN-ESC-001,Electronic speed controller,Propulsion,4,each,Electronics,buy,One ESC per motor
1,DRN-PDB-001,Power distribution board,Power,1,each,Electronics,buy,Distributes battery power to ESCs and flight controller
1,DRN-BAT-001,Lithium polymer flight battery,Power,1,each,Electronics,buy,Production battery pack
1,DRN-PWR-001,XT60 battery lead and capacitor kit,Power,1,set,Electronics,buy,Main power lead filtering and strain relief
1,DRN-FC-001,Flight controller with IMU,Controls,1,each,Electronics,buy,Mounted with vibration isolation
1,DRN-RX-001,Radio receiver,Controls,1,each,Electronics,buy,Bound during firmware calibration
1,DRN-GPS-001,GPS and compass module,Navigation,1,each,Electronics,buy,Optional by model but included in prototype BOM
1,DRN-CAM-001,Camera/sensor payload module,Payload,1,each,Electronics,buy,Camera or inspection sensor payload
1,DRN-WIR-001,Wiring harness and heat shrink kit,Electrical,1,set,Electronics,buy,Signal wires power leads sleeves and ties
1,DRN-FW-001,Firmware image and configuration profile,Software,1,each,Firmware,make,Loaded and configured per drone
1,DRN-PROP-001,Propeller clockwise/counterclockwise set,Propulsion,1,set,Motor Test,buy,Installed after motor direction checks
1,DRN-LBL-001,Serial label and compliance label set,Packaging,1,set,Packaged,buy,Applied after final acceptance
1,DRN-PKG-001,Protective packaging kit,Packaging,1,set,Packaged,buy,Box foam inserts manuals and accessories bag
1,DRN-DOC-001,Inspection and test record,Quality,1,each,QA Test,make,Traceability record from QA release
1,CASE-FG-500,Drone transport case,Packaging,1,each,Packaged,make,Manufactured carry case pulled from Case Inventory at drone packaging
0,CASE-FG-500,Drone transport case,Finished good,1,each,Case Inventory,make,Top-level manufactured carry case
1,CASE-SHL-001,Molded shell blank top and bottom,Shell,1,set,Shell Forming,buy,Molded halves trimmed and prepped at shell forming
1,CASE-FOAM-001,Foam insert block set,Interior,1,set,Foam Fit,buy,Cavities cut for drone batteries props and accessories
1,CASE-HNG-001,Hinge set,Hardware,1,set,Hardware,buy,Continuous hinge with pins and screws
1,CASE-LTC-001,Latch set,Hardware,2,each,Hardware,buy,Two locking draw latches per case
1,CASE-HDL-001,Carry handle,Hardware,1,each,Hardware,buy,Spring-loaded carry handle
1,CASE-SEAL-001,Gasket seal and valve kit,Hardware,1,set,Hardware,buy,O-ring gasket and pressure relief valve
1,CASE-HW-001,Case fastener kit,Hardware,1,set,Hardware,buy,Rivets screws and inserts for case hardware
1,CASE-LBL-001,Case label and badge set,Finishing,1,set,Inspection,buy,Serial badge and compliance labels
